Province,Luas_Panen_ha,Produktivitas_ku_ha,Produksi_ton,Year,Productivity_per_ton,Production_efficiency,Produksi_lag1,Produktivitas_lag1,Area_lag1,Produksi_ma3,Produktivitas_ma3
MALUKU,23987.82,38.6,92601.06,2022,3.8600000000000003,3.860336620835074,116803.67,41.24,28319.75,106617.34333333334,39.45666666666667
MALUKU,22636.68,35.32,79958.34,2023,3.532,3.532246778237798,92601.06,38.6,23987.82,96454.35666666667,38.38666666666666
MALUKU,23947.35,38.05,91125.35,2024,3.8049999999999997,3.805237322710029,79958.34,35.32,22636.68,87894.91666666667,37.32333333333333
MALUKU UTARA,13412.75,36.57,49047.11,2018,3.657,3.6567527166315634,,,,49047.11,36.57
MALUKU UTARA,11700.5,32.43,37945.64,2019,3.243,3.243078500918764,49047.11,36.57,13412.75,43496.375,34.5
MALUKU UTARA,10301.91,42.11,43382.85,2020,4.211,4.2111462825825505,37945.64,32.43,11700.5,43458.53333333333,37.03666666666667
MALUKU UTARA,7781.96,36.05,28050.8,2021,3.6049999999999995,3.604593187320418,43382.85,42.11,10301.91,36459.76333333333,36.86333333333333
MALUKU UTARA,6416.45,38.16,24486.03,2022,3.816,3.8161335317815928,28050.8,36.05,7781.96,31973.226666666666,38.77333333333333
MALUKU UTARA,7709.07,34.59,26663.23,2023,3.4590000000000005,3.458683083692326,24486.03,38.16,6416.45,26400.02,36.266666666666666
MALUKU UTARA,9366.71,33.34,31232.95,2024,3.3340000000000005,3.334463221344528,26663.23,34.59,7709.07,27460.736666666664,35.36333333333334
NUSA TENGGARA BARAT,289242.59,50.49,1460338.81,2018,5.049,5.04883741360496,,,,1460338.81,50.49
NUSA TENGGARA BARAT,281666.04,49.78,1402182.39,2019,4.978,4.978173407060361,1460338.81,50.49,289242.59,1431260.6,50.135000000000005
NUSA TENGGARA BARAT,273460.82,48.17,1317189.81,2020,4.817,4.816740511492652,1402182.39,49.78,281666.04,1393237.0033333332,49.48
NUSA TENGGARA BARAT,276211.88,51.39,1419559.84,2021,5.139,5.139387342789166,1317189.81,48.17,273460.82,1379644.0133333334,49.78
NUSA TENGGARA BARAT,270092.9,53.79,1452945.0,2022,5.379,5.37942685646309,1419559.84,51.39,276211.88,1396564.8833333335,51.11666666666667
NUSA TENGGARA BARAT,287512.14,53.51,1538536.92,2023,5.351,5.3512068046935335,1452945.0,53.79,270092.9,1470347.2533333332,52.89666666666667
NUSA TENGGARA BARAT,281717.84,51.59,1453408.37,2024,5.159000000000001,5.159092409625177,1538536.92,53.51,287512.14,1481630.0966666667,52.96333333333333
NUSA TENGGARA TIMUR,218232.91,41.24,899935.88,2018,4.1240000000000006,4.123740456927417,,,,899935.88,41.24
NUSA TENGGARA TIMUR,198867.41,40.82,811724.18,2019,4.082,4.081735564414501,899935.88,41.24,218232.91,855830.03,41.03
NUSA TENGGARA TIMUR,181690.63,39.9,725024.3,2020,3.9899999999999998,3.9904330784697044,811724.18,40.82,198867.41,812228.1200000001,40.653333333333336
NUSA TENGGARA TIMUR,174900.07,41.85,731877.74,2021,4.1850000000000005,4.1845480107583715,725024.3,39.9,181690.63,756208.7400000001,40.85666666666666
NUSA TENGGARA TIMUR,183092.0,41.29,756049.9,2022,4.129,4.129344264085815,731877.74,41.85,174900.07,737650.6466666666,41.01333333333333
NUSA TENGGARA TIMUR,184698.89,41.52,766810.46,2023,4.152,4.15167876753347,756049.9,41.29,183092.0,751579.3666666667,41.553333333333335
NUSA TENGGARA TIMUR,168727.24,41.95,707792.54,2024,4.195,4.194891945129903,766810.46,41.52,184698.89,743550.9666666667,41.586666666666666
PAPUA,52411.95,42.57,223119.42,2018,4.257,4.257033367390452,,,,223119.42,42.57
PAPUA,54131.72,43.48,235339.51,2019,4.348,4.347534310751626,223119.42,42.57,52411.95,229229.46500000003,43.025
PAPUA,52727.52,31.48,166002.3,2020,3.148,3.148304718295114,235339.51,43.48,54131.72,208153.74333333332,39.17666666666667
PAPUA,64984.9,44.05,286279.8,2021,4.404999999999999,4.405328006967772,166002.3,31.48,52727.52,229207.20333333334,39.67
PAPUA,49741.91,38.99,193943.5,2022,3.899,3.898995836709929,286279.8,44.05,64984.9,215408.53333333333,38.17333333333334
PAPUA,840.18,44.76,3760.45,2023,4.476,4.47576709752672,193943.5,38.99,49741.91,161327.9166666667,42.6
PAPUA,1068.57,43.14,4609.95,2024,4.314,4.3141300991044105,3760.45,44.76,840.18,67437.96666666666,42.29666666666667
PAPUA BARAT,7767.01,32.15,24967.13,2018,3.215,3.2145098306813047,,,,24967.13,32.15
PAPUA BARAT,7192.15,41.63,29943.56,2019,4.163,4.1633670043033035,24967.13,32.15,7767.01,27455.345,36.89
PAPUA BARAT,7570.63,32.2,24378.33,2020,3.22,3.2201190653882175,29943.56,41.63,7192.15,26429.673333333336,35.32666666666667
PAPUA BARAT,6414.94,41.98,26926.93,2021,4.1979999999999995,4.197534193616776,24378.33,32.2,7570.63,27082.940000000002,38.60333333333333
PAPUA BARAT,5460.59,43.89,23963.92,2022,4.389,4.388522119404679,26926.93,41.98,6414.94,25089.726666666666,39.35666666666666
PAPUA BARAT,5006.27,45.08,22566.81,2023,4.508,4.507709332497049,23963.92,43.89,5460.59,24485.88666666667,43.65
PAPUA BARAT,5121.13,40.48,20729.15,2024,4.048,4.047768754161679,22566.81,45.08,5006.27,22419.960000000003,43.15
PAPUA BARAT DAYA,579.83,41.34,2396.95,2023,4.134,4.133884069468637,,,,2396.95,41.34
PAPUA BARAT DAYA,363.87,27.17,988.64,2024,2.717,2.717014318300492,2396.95,41.34,579.83,1692.7949999999998,34.255
PAPUA PEGUNUNGAN,14.14,43.59,61.63,2023,4.359,4.358557284299859,,,,61.63,43.59
PAPUA PEGUNUNGAN,9.66,43.87,42.38,2024,4.387,4.387163561076605,61.63,43.59,14.14,52.005,43.730000000000004
PAPUA SELATAN,44807.86,40.98,183627.83,2023,4.098,4.098116491169183,,,,183627.83,40.98
PAPUA SELATAN,47168.57,46.17,217789.62,2024,4.617,4.617261451852367,183627.83,40.98,44807.86,200708.72499999998,43.575
PAPUA TENGAH,2094.2,44.28,9273.22,2023,4.428,4.428048896953491,,,,9273.22,44.28
PAPUA TENGAH,1436.12,42.28,6072.38,2024,4.228,4.228323538422973,9273.22,44.28,2094.2,7672.799999999999,43.28
RIAU,71448.08,37.28,266375.53,2018,3.728,3.7282391633197145,,,,266375.53,37.28
RIAU,63142.04,36.56,230873.97,2019,3.656,3.656422408905382,266375.53,37.28,71448.08,248624.75,36.92
RIAU,64733.13,37.64,243685.04,2020,3.7640000000000002,3.7644563147185996,230873.97,36.56,63142.04,246978.18000000002,37.160000000000004
RIAU,53062.35,40.98,217458.87,2021,4.098,4.098176390604638,243685.04,37.64,64733.13,230672.62666666668,38.39333333333334
RIAU,51054.04,41.83,213557.2,2022,4.183,4.182963777205487,217458.87,40.98,53062.35,224900.37000000002,40.15
RIAU,51914.14,39.68,205972.55,2023,3.968,3.9675616315708973,213557.2,41.83,51054.04,212329.54,40.83
RIAU,56421.96,39.36,222055.71,2024,3.936,3.9356255968420806,205972.55,39.68,51914.14,213861.81999999998,40.29
SULAWESI BARAT,65303.78,48.46,316478.37,2018,4.846,4.846248869514138,,,,316478.37,48.46
SULAWESI BARAT,62581.47,47.96,300142.22,2019,4.796,4.796023807047037,316478.37,48.46,65303.78,308310.295,48.21
SULAWESI BARAT,64826.18,53.23,345050.37,2020,5.3229999999999995,5.322700951991926,300142.22,47.96,62581.47,320556.98666666663,49.88333333333333
SULAWESI BARAT,59763.18,52.05,311072.46,2021,5.205,5.205085472359403,345050.37,53.23,64826.18,318755.01666666666,51.07999999999999
SULAWESI BARAT,69323.95,50.99,353513.3,2022,5.099,5.099439659742412,311072.46,52.05,59763.18,336545.37666666665,52.089999999999996
SULAWESI BARAT,58606.67,49.73,291458.59,2023,4.973,4.973130020866226,353513.3,50.99,69323.95,318681.45,50.92333333333334
SULAWESI BARAT,63181.59,50.47,318876.59,2024,5.047,5.046985838754613,291458.59,49.73,58606.67,321282.8266666667,50.39666666666667
